Make_Model,Price,Mileage,Fuel,Age,Previous_Owners,Horsepower,Gearing_Type,Displacement,Drive_Chain
Audi A1,18185.0,26699.9,Benzine,3.0,1.0,85.0,Automatic,1598.0,front
Audi A1,18403.8,13960.0,Diesel,3.0,1.0,66.0,Automatic,1422.0,front
Audi A1,18393.5,22979.9,Benzine,2.0,1.0,70.0,Automatic,1461.0,front
Audi A1,19156.0,3900.0,Benzine,2.0,2.0,92.0,Automatic,1461.0,front
Audi A1,18393.5,7924.0,Benzine,3.0,1.0,92.0,Manual,1461.0,front
Audi A1,18362.9,29799.9,Diesel,3.0,1.0,85.0,Automatic,1598.0,front
Audi A1,18362.9,14300.0,Diesel,2.0,1.0,85.0,Automatic,999.0,front
Audi A1,19128.3,9463.0,Benzine,1.0,1.0,70.0,Automatic,999.0,front
Audi A1,18362.9,69999.8,Benzine,3.0,2.0,70.0,Automatic,999.0,front
Audi A1,17500.0,15000.0,Benzine,2.0,2.0,70.0,Automatic,999.0,front
Audi A1,17450.0,12000.0,Benzine,3.0,1.0,66.0,Automatic,1422.0,front
Audi A1,17450.0,38343.9,Benzine,2.0,1.0,70.0,Automatic,999.0,front
Audi A1,19081.4,10170.0,Benzine,1.0,1.0,85.0,Automatic,1461.0,front
Audi A1,19081.4,23356.9,Benzine,3.0,1.0,70.0,Automatic,999.0,front
Audi A1,19081.4,39999.9,Benzine,3.0,1.0,110.0,Automatic,1461.0,front
Audi A1,16900.0,32699.9,Benzine,2.0,1.0,66.0,Automatic,1422.0,front
Audi A1,17900.0,37701.9,Benzine,2.0,1.0,93.0,Automatic,1461.0,front
Unknown,18004.7,29199.9,Diesel,3.0,1.0,70.0,Automatic,1461.0,front
Audi A1,17994.1,32102.9,Benzine,3.0,1.0,70.0,Automatic,999.0,front
Audi A1,16870.0,7680.0,Benzine,2.0,1.0,66.0,Automatic,1422.0,front
Audi A1,16780.0,18555.9,Diesel,2.0,1.0,66.0,Automatic,1422.0,front
Unknown,16530.0,36624.9,Diesel,3.0,1.0,85.0,Automatic,1598.0,front
Audi A1,16500.0,36499.9,Diesel,3.0,1.0,85.0,Automatic,1461.0,front
Audi A1,16879.5,24999.9,Benzine,3.0,1.0,92.0,Automatic,1395.0,front
Audi A1,16879.5,65999.8,Diesel,3.0,1.0,85.0,Automatic,1598.0,front
Audi A1,16490.0,16081.0,Benzine,3.0,1.0,70.0,Automatic,999.0,front
Audi A1,16480.0,32862.9,Benzine,3.0,1.0,92.0,Automatic,1395.0,front
Audi A1,17567.7,54888.8,Benzine,3.0,1.0,70.0,Automatic,999.0,front
Audi A1,16480.0,40799.9,Benzine,3.0,1.0,92.0,Automatic,1395.0,front
Audi A1,17150.0,24999.9,Benzine,3.0,1.0,70.0,Automatic,999.0,front
Audi A1,17380.8,36499.9,Diesel,2.0,1.0,85.0,Automatic,1461.0,front
Audi A1,16990.0,14000.0,Benzine,2.0,2.0,70.0,Automatic,999.0,front
Audi A1,16950.0,13200.0,Benzine,1.0,1.0,70.0,Manual,1461.0,front
Audi A1,16975.0,19176.9,Benzine,2.0,1.0,70.0,Automatic,999.0,front
Audi A1,16900.0,32999.9,Benzine,2.0,1.0,66.0,Automatic,1422.0,front
Audi A1,16900.0,58032.8,Benzine,3.0,1.0,85.0,Automatic,1598.0,front
Audi A1,17890.0,36529.9,Benzine,2.0,1.0,66.0,Automatic,1422.0,front
Audi A1,19060.1,5991.0,Benzine,1.0,1.0,70.0,Automatic,999.0,front
Audi A1,17750.0,31999.9,Diesel,2.0,1.0,85.0,Automatic,1598.0,front
Unknown,18825.6,7701.0,Benzine,1.0,1.0,70.0,Automatic,999.0,front
Audi A1,16437.7,44584.9,Diesel,3.0,1.0,85.0,Automatic,1461.0,front
Audi A1,15539.4,37499.9,Benzine,2.0,1.0,70.0,Automatic,999.0,front
Audi A1,16203.2,49599.9,Benzine,3.0,1.0,66.0,Automatic,1461.0,front
Audi A1,15380.0,46899.9,Diesel,3.0,1.0,85.0,Manual,1461.0,front
Audi A1,16085.9,63667.8,Benzine,3.0,1.0,85.0,Automatic,1598.0,front
Audi A1,15437.1,63667.8,Diesel,3.0,1.0,85.0,Automatic,1461.0,front
Audi A1,16085.9,63667.8,Benzine,3.0,1.0,85.0,Automatic,1598.0,front
Audi A1,15090.0,63667.8,Benzine,3.0,1.0,85.0,Manual,1461.0,front
Audi A1,14680.0,94299.7,Diesel,3.0,1.0,85.0,Automatic,1461.0,front
Audi A1,13892.0,69849.8,Benzine,3.0,1.0,66.0,Automatic,1422.0,front
Audi A1,15090.0,63667.8,Diesel,3.0,1.0,85.0,Automatic,1598.0,front
Audi A1,15437.1,63667.8,Diesel,2.0,1.0,85.0,Manual,1598.0,front
Audi A1,15090.0,63667.8,Benzine,3.0,1.0,85.0,Automatic,1598.0,front
Unknown,15090.0,63667.8,Diesel,3.0,1.0,85.0,Automatic,1598.0,front
Audi A1,13759.4,26309.9,Benzine,1.0,1.0,85.0,Automatic,999.0,front
Audi A1,15334.8,49350.9,Diesel,3.0,1.0,66.0,Automatic,1461.0,front
Unknown,15979.3,49350.9,Diesel,2.0,2.0,66.0,Automatic,1422.0,front
Audi A1,15979.3,49350.9,Diesel,3.0,1.0,66.0,Automatic,1422.0,front
Audi A1,14990.0,49350.9,Diesel,3.0,1.0,66.0,Automatic,1422.0,front
Audi A1,14990.0,49350.9,Diesel,3.0,1.0,85.0,Automatic,1461.0,front
Audi A1,14990.0,49350.9,Diesel,3.0,2.0,66.0,Manual,1422.0,front
Audi A1,14990.0,49350.9,Diesel,3.0,2.0,66.0,Automatic,1422.0,front
Audi A1,15700.0,31099.9,Diesel,3.0,1.0,85.0,Automatic,1598.0,front
Audi A1,15334.8,49350.9,Benzine,3.0,1.0,66.0,Automatic,1422.0,front
Audi A1,16789.5,41599.9,Benzine,3.0,1.0,85.0,Automatic,1598.0,front
Audi A1,15979.3,49350.9,Benzine,3.0,1.0,66.0,Manual,1461.0,front
Audi A1,14990.0,59999.8,Benzine,3.0,2.0,66.0,Automatic,1422.0,front
Audi A1,14959.0,56966.8,Benzine,3.0,1.0,70.0,Automatic,1461.0,front
Unknown,14930.0,86697.8,Benzine,3.0,2.0,70.0,Automatic,999.0,front
Audi A1,15293.8,69999.8,Diesel,3.0,1.0,66.0,Automatic,1422.0,front
Audi A1,14640.0,83449.8,Benzine,3.0,1.0,85.0,Automatic,1598.0,front
Unknown,14990.0,49350.9,Diesel,3.0,1.0,66.0,Automatic,1461.0,front
Audi A1,15334.8,49350.9,Diesel,3.0,1.0,66.0,Manual,1422.0,front
Audi A1,16290.0,52999.8,Diesel,3.0,2.0,85.0,Automatic,1598.0,front
Audi A1,14990.0,49350.9,Diesel,3.0,2.0,66.0,Automatic,1422.0,front
Unknown,16000.0,18999.9,Diesel,2.0,1.0,66.0,Automatic,1422.0,front
Audi A1,15990.0,42899.9,Benzine,3.0,1.0,66.0,Automatic,1422.0,front
Audi A1,15590.0,40499.9,Benzine,3.0,1.0,70.0,Automatic,999.0,front
Unknown,17034.7,44299.9,Diesel,3.0,1.0,85.0,Automatic,1598.0,front
Unknown,17045.3,9300.0,Diesel,2.0,1.0,70.0,Automatic,1461.0,front
Audi A1,15980.0,72191.8,Diesel,3.0,1.0,85.0,Automatic,1598.0,front
Audi A1,15450.0,34010.9,Diesel,3.0,1.0,85.0,Automatic,999.0,4WD
Audi A1,15799.2,13776.0,Benzine,3.0,1.0,85.0,Manual,999.0,front
Audi A1,15900.0,41499.9,Benzine,3.0,1.0,70.0,Automatic,1461.0,front
Unknown,15970.0,36949.9,Diesel,3.0,1.0,70.0,Automatic,999.0,front
Audi A1,16204.3,32909.9,Benzine,3.0,1.0,70.0,Automatic,1461.0,front
Audi A1,15789.0,59701.8,Diesel,3.0,1.0,85.0,Automatic,1598.0,front
Audi A1,16821.5,23210.9,Benzine,3.0,1.0,70.0,Automatic,999.0,front
Audi A1,11950.0,72999.8,Benzine,3.0,1.0,70.0,Manual,1461.0,front
Audi A1,12480.0,63349.8,Benzine,3.0,1.0,70.0,Manual,1461.0,front
Audi A1,12900.0,28977.9,Diesel,3.0,1.0,85.0,Manual,1461.0,front
Unknown,13900.0,33999.9,Diesel,3.0,1.0,60.0,Manual,999.0,front
Audi A1,13890.0,29599.9,Benzine,3.0,1.0,70.0,Manual,999.0,front
Audi A1,14209.5,124999.7,Benzine,3.0,1.0,85.0,Manual,1598.0,front
Audi A1,13890.0,18371.0,Diesel,2.0,1.0,67.0,Manual,1461.0,front
Audi A1,13890.0,18371.0,Benzine,2.0,1.0,67.0,Manual,1422.0,front
Audi A1,13940.0,58010.8,Benzine,3.0,1.0,66.0,Manual,1422.0,front
Audi A1,14219.7,64999.8,Benzine,2.0,1.0,70.0,Manual,999.0,front
Audi A1,14219.7,99999.7,Diesel,3.0,1.0,85.0,Manual,1598.0,front
Audi A1,14219.7,43999.9,Benzine,2.0,1.0,60.0,Manual,1461.0,front
Audi A1,13900.0,36039.9,Benzine,3.0,1.0,70.0,Manual,1461.0,front
Audi A1,14219.7,84499.8,Diesel,3.0,1.0,66.0,Manual,1422.0,4WD
Audi A1,14817.4,45520.9,Benzine,3.0,1.0,66.0,Manual,1422.0,front
Audi A1,13880.0,51399.9,Benzine,3.0,1.0,70.0,Manual,999.0,front
Audi A1,14199.2,63149.8,Benzine,3.0,1.0,70.0,Manual,999.0,front
Audi A1,14035.6,62399.8,Benzine,2.0,1.0,66.0,Manual,1461.0,front
Audi A1,14025.3,55849.8,Benzine,3.0,1.0,70.0,Manual,1461.0,front
Unknown,13700.0,69999.8,Diesel,3.0,2.0,66.0,Manual,1461.0,front
Audi A1,13700.0,69999.8,Diesel,2.0,2.0,66.0,Manual,1422.0,front
Audi A1,13700.0,87499.8,Benzine,3.0,1.0,70.0,Manual,1461.0,front
Audi A1,14604.2,56538.8,Benzine,3.0,1.0,70.0,Manual,999.0,front
Audi A1,13858.0,28999.9,Benzine,3.0,2.0,85.0,Manual,1461.0,front
Audi A1,12999.0,22499.9,Diesel,3.0,1.0,66.0,Manual,1461.0,front
Audi A1,12990.0,65549.8,Benzine,3.0,1.0,70.0,Manual,999.0,front
Audi A1,13680.0,79853.8,Diesel,3.0,1.0,85.0,Manual,1598.0,front
Audi A1,13850.0,31283.9,Benzine,3.0,1.0,70.0,Manual,1461.0,front
Audi A1,14764.1,45257.9,Benzine,3.0,1.0,70.0,Manual,999.0,front
Audi A1,13800.0,94799.7,Benzine,3.0,1.0,66.0,Manual,1422.0,front
Audi A1,13800.0,84999.8,Benzine,3.0,1.0,66.0,Manual,1422.0,front
Audi A1,13800.0,52999.8,Benzine,2.0,1.0,85.0,Manual,1598.0,front
Audi A1,12990.0,59834.8,Diesel,3.0,1.0,66.0,Manual,1461.0,front
Audi A1,13861.6,61128.8,Benzine,3.0,1.0,66.0,Manual,1422.0,front
Unknown,13400.0,69814.8,Diesel,3.0,1.0,66.0,Manual,1422.0,front
Audi A1,13400.0,82812.8,Diesel,2.0,1.0,66.0,Manual,1461.0,front
Audi A1,13350.0,40364.9,Diesel,3.0,1.0,66.0,Manual,1461.0,front
Audi A1,13687.7,50436.9,Benzine,3.0,1.0,70.0,Manual,999.0,front
Audi A1,13360.0,52705.9,Benzine,3.0,1.0,85.0,Manual,1598.0,front
Audi A1,13300.0,82088.8,Diesel,3.0,1.0,85.0,Manual,1598.0,front
Audi A1,13503.6,52999.8,Benzine,3.0,1.0,70.0,Manual,1461.0,front
Audi A1,13861.6,55799.8,Benzine,3.0,1.0,92.0,Manual,1395.0,front
Audi A1,13500.0,102999.7,Diesel,3.0,1.0,85.0,Manual,1598.0,front
Audi A1,12980.0,42905.9,Benzine,3.0,1.0,60.0,Manual,999.0,front
Unknown,12980.0,53979.9,Diesel,3.0,1.0,66.0,Manual,1461.0,front
Audi A1,13278.5,79649.8,Benzine,3.0,2.0,66.0,Manual,1461.0,front
Audi A1,13247.8,41249.9,Diesel,3.0,1.0,66.0,Manual,1422.0,front
Audi A1,13490.0,137144.6,Benzine,3.0,1.0,85.0,Manual,1598.0,front
Audi A1,13480.0,66199.8,Benzine,3.0,1.0,92.0,Manual,1461.0,front
Audi A1,13790.0,4381.0,Benzine,3.0,1.0,70.0,Manual,999.0,front
Audi A1,13490.0,45732.9,Diesel,3.0,1.0,85.0,Manual,1422.0,front
Audi A1,13475.0,58679.8,Benzine,3.0,1.0,92.0,Manual,1395.0,front
Audi A1,14359.0,51299.9,Benzine,3.0,1.0,70.0,Manual,1461.0,front
Unknown,13470.0,52810.8,Diesel,3.0,1.0,66.0,Manual,1461.0,front
Audi A1,13450.0,27996.9,Benzine,3.0,1.0,60.0,Manual,999.0,front
Audi A1,13738.9,1042875.2,Benzine,3.0,1.0,70.0,Manual,999.0,front
Audi A1,14316.4,57299.8,Benzine,2.0,1.0,70.0,Manual,999.0,front
Unknown,13082.1,28641.9,Diesel,3.0,1.0,60.0,Manual,999.0,front
Audi A1,13033.0,91874.7,Diesel,2.0,1.0,85.0,Manual,1422.0,front
Audi A1,12736.0,17099.9,Benzine,3.0,1.0,70.0,Manual,999.0,front
Audi A1,12750.0,46999.9,Benzine,3.0,1.0,66.0,Manual,1422.0,front
Audi A1,13325.0,58999.8,Benzine,3.0,1.0,60.0,Manual,999.0,front
Audi A1,13431.6,46579.9,Benzine,3.0,1.0,66.0,Manual,999.0,front
Audi A1,12900.0,41999.9,Benzine,3.0,1.0,70.0,Manual,1461.0,front
Audi A1,13196.7,148256.6,Diesel,2.0,1.0,85.0,Manual,1598.0,front
Unknown,13155.8,19599.9,Benzine,3.0,1.0,70.0,Manual,999.0,front
Audi A1,12275.0,78999.8,Benzine,3.0,1.0,70.0,Manual,999.0,front
Unknown,11990.0,77763.8,Diesel,2.0,1.0,67.0,Manual,1422.0,front
Audi A1,12265.8,64975.8,Diesel,3.0,1.0,66.0,Manual,1461.0,front
Audi A1,11982.0,47624.9,Benzine,3.0,1.0,60.0,Manual,999.0,front
Audi A1,11950.0,39499.9,Benzine,3.0,1.0,70.0,Manual,999.0,front
Audi A1,12685.2,71999.8,Benzine,3.0,1.0,70.0,Manual,1461.0,front
Audi A1,12777.3,27999.9,Benzine,2.0,1.0,60.0,Manual,999.0,front
Audi A1,12390.0,47684.9,Benzine,3.0,1.0,66.0,Manual,1461.0,front
Unknown,14265.7,98298.7,Diesel,3.0,1.0,85.0,Manual,1598.0,front
Audi A1,13980.0,111791.7,Benzine,3.0,1.0,85.0,Manual,1598.0,front
Audi A1,18413.0,25999.9,Diesel,3.0,1.0,85.0,Semi-automatic,1598.0,front
Audi A1,14200.0,66899.8,Diesel,3.0,1.0,66.0,Manual,1461.0,front
Audi A1,38771.7,7000.0,Benzine,0.0,1.0,147.0,Semi-automatic,1984.0,front
Audi A1,14330.0,45162.9,Diesel,3.0,1.0,66.0,Manual,1422.0,front
Audi A1,14275.0,29236.9,Benzine,3.0,1.0,70.0,Manual,1461.0,front
Audi A1,14220.0,11707.0,Benzine,1.0,1.0,60.0,Manual,999.0,front
Audi A1,14200.0,66899.8,Diesel,3.0,1.0,85.0,Manual,1422.0,front
Audi A1,14526.6,80399.8,Diesel,3.0,1.0,85.0,Manual,1598.0,front
Audi A1,14200.0,66899.8,Diesel,3.0,1.0,66.0,Manual,1422.0,front
Audi A1,14200.0,43999.9,Diesel,3.0,1.0,85.0,Manual,1598.0,front
Audi A1,15136.1,61845.8,Benzine,3.0,1.0,60.0,Manual,999.0,front
Audi A1,14200.0,47299.9,Benzine,3.0,2.0,66.0,Manual,1422.0,front
Audi A1,14924.0,4500.0,Benzine,3.0,1.0,60.0,Manual,999.0,front
Audi A1,14000.0,39999.9,Benzine,2.0,1.0,70.0,Manual,999.0,front
Audi A1,14000.0,45999.9,Benzine,3.0,1.0,66.0,Manual,1422.0,front
Audi A1,13999.0,46891.9,Benzine,3.0,1.0,70.0,Manual,999.0,front
Audi A1,14322.0,54999.8,Benzine,3.0,1.0,92.0,Manual,1461.0,front
Audi A1,18414.0,9950.0,Benzine,2.0,1.0,70.0,Semi-automatic,999.0,front
Audi A1,18122.0,15000.0,Benzine,2.0,1.0,70.0,Semi-automatic,1461.0,front
Audi A1,17288.7,40999.9,Benzine,3.0,1.0,66.0,Semi-automatic,1422.0,front
Audi A1,16800.0,19199.9,Diesel,1.0,1.0,85.0,Semi-automatic,1598.0,front
Audi A1,16500.0,42999.9,Benzine,3.0,1.0,85.0,Semi-automatic,1598.0,front
Audi A1,15900.0,48999.9,Diesel,3.0,1.0,85.0,Semi-automatic,1598.0,front
Audi A1,16163.4,64999.8,Diesel,3.0,1.0,85.0,Semi-automatic,1598.0,front
Audi A1,14450.0,25024.9,Benzine,3.0,1.0,60.0,Manual,999.0,front
Unknown,14761.9,34599.9,Diesel,3.0,1.0,70.0,Manual,1461.0,front
Audi A1,14391.0,30552.9,Diesel,2.0,2.0,85.0,Manual,1461.0,front
Audi A1,15339.7,101086.7,Benzine,3.0,2.0,70.0,Manual,999.0,front
Audi A1,14721.0,14350.0,Benzine,3.0,1.0,60.0,Manual,999.0,front
Audi A1,14390.0,62103.8,Benzine,3.0,1.0,71.0,Manual,999.0,front
Audi A1,13990.0,78555.8,Benzine,3.0,1.0,66.0,Manual,1422.0,front
Audi A1,14892.0,49288.9,Diesel,3.0,1.0,66.0,Manual,1422.0,front
Unknown,13960.0,15699.9,Benzine,2.0,1.0,70.0,Manual,999.0,front
Audi A1,13950.0,49999.9,Benzine,3.0,1.0,66.0,Manual,1422.0,front
Audi A1,14870.7,34700.9,Benzine,3.0,2.0,70.0,Manual,999.0,front
Audi A1,13950.0,52283.9,Benzine,3.0,1.0,70.0,Manual,999.0,front
Audi A1,13950.0,27299.9,Benzine,3.0,1.0,70.0,Manual,1461.0,front
Audi A1,13950.0,52299.8,Benzine,2.0,1.0,66.0,Manual,1422.0,front
Audi A1,18990.0,20699.9,Benzine,2.0,1.0,70.0,Automatic,999.0,front
Audi A1,18980.0,9619.0,Benzine,2.0,1.0,85.0,Automatic,999.0,front
Audi A1,19890.0,23032.9,Benzine,2.0,1.0,70.0,Automatic,999.0,front
Audi A1,20450.0,14500.0,Benzine,1.0,1.0,70.0,Automatic,1461.0,front
Audi A1,21853.0,25399.9,Benzine,2.0,1.0,70.0,Automatic,999.0,front
Audi A1,21871.7,8668.0,Benzine,1.0,1.0,70.0,Automatic,1461.0,front
Unknown,21380.7,6256.0,Benzine,2.0,1.0,92.0,Automatic,1395.0,front
Unknown,14950.0,32977.9,Diesel,2.0,1.0,60.0,Manual,999.0,front
Audi A1,15274.4,13978.0,Benzine,2.0,1.0,60.0,Manual,999.0,front
Audi A1,14931.0,13978.0,Benzine,2.0,1.0,85.0,Manual,999.0,front
Audi A1,14900.0,8992.0,Benzine,2.0,1.0,60.0,Manual,999.0,front
Audi A1,14900.0,67898.8,Diesel,2.0,1.0,66.0,Manual,1422.0,front
Audi A1,14833.5,15000.0,Benzine,1.0,1.0,70.0,Manual,999.0,front
Audi A1,15221.2,42972.9,Diesel,2.0,1.0,85.0,Manual,1598.0,front
Audi A1,14500.0,88999.8,Diesel,2.0,1.0,85.0,Manual,1598.0,front
Audi A1,14500.0,26999.9,Benzine,2.0,1.0,60.0,Manual,1461.0,front
Audi A1,14500.0,17441.9,Benzine,1.0,1.0,70.0,Manual,999.0,front
Audi A1,14500.0,19999.9,Benzine,2.0,1.0,85.0,Manual,1461.0,front
Unknown,21490.0,25899.9,Benzine,2.0,1.0,110.0,Automatic,1461.0,front
Audi A1,15766.1,26399.9,Diesel,2.0,1.0,66.0,Manual,1422.0,front
Audi A1,15670.2,42699.9,Diesel,2.0,1.0,66.0,Manual,1422.0,front
Audi A1,14750.0,25599.9,Diesel,2.0,1.0,66.0,Manual,1461.0,front
Audi A1,14490.0,52999.8,Benzine,2.0,1.0,85.0,Manual,999.0,front
Audi A1,14490.0,26157.9,Diesel,2.0,1.0,87.0,Manual,1598.0,front
Audi A1,21430.0,9900.0,Benzine,2.0,1.0,141.0,Automatic,1798.0,front
Audi A1,14833.5,15000.0,Benzine,2.0,1.0,60.0,Manual,1461.0,front
Audi A1,20990.0,9410.0,Benzine,2.0,1.0,85.0,Automatic,999.0,front
Audi A1,20990.0,12500.0,Benzine,1.0,1.0,70.0,Automatic,999.0,front
Audi A1,20990.0,27999.9,Benzine,2.0,2.0,92.0,Automatic,1395.0,front
Audi A1,20950.0,10447.0,Benzine,1.0,1.0,70.0,Automatic,999.0,front
Audi A1,21431.9,6500.0,Benzine,1.0,1.0,70.0,Automatic,999.0,front
Audi A1,20940.0,10000.0,Benzine,1.0,1.0,85.0,Automatic,1461.0,front
Audi A1,21421.6,28382.9,Benzine,2.0,1.0,71.0,Automatic,1461.0,front
Audi A1,20990.0,13000.0,Benzine,2.0,1.0,70.0,Automatic,999.0,front
Audi A1,21380.7,2658.0,Benzine,1.0,1.0,85.0,Automatic,1461.0,front
Audi A1,20900.0,15000.0,Benzine,1.0,1.0,85.0,Automatic,1598.0,front
Audi A1,20500.0,12000.0,Diesel,2.0,1.0,66.0,Automatic,1461.0,front
Audi A1,20500.0,11000.0,Benzine,1.0,1.0,70.0,Manual,999.0,front
Audi A1,20800.0,28499.9,Benzine,2.0,1.0,92.0,Automatic,1395.0,front
Audi A1,20500.0,7000.0,Benzine,2.0,1.0,92.0,Automatic,1395.0,front
Audi A1,21853.0,12345.0,Benzine,2.0,1.0,110.0,Automatic,1395.0,front
Audi A1,21278.4,6476.0,Benzine,1.0,1.0,85.0,Automatic,1598.0,front
Audi A1,20490.0,8885.0,Benzine,1.0,1.0,85.0,Automatic,1461.0,front
Audi A1,21842.3,11570.0,Benzine,2.0,1.0,70.0,Automatic,999.0,front
Audi A1,20480.0,5110.0,Benzine,2.0,1.0,70.0,Automatic,999.0,front
Audi A1,20457.0,12123.0,Benzine,2.0,1.0,92.0,Automatic,1395.0,front
Audi A1,20700.0,2700.0,Benzine,2.0,1.0,141.0,Automatic,1798.0,front
Audi A1,20550.0,1156.0,Benzine,1.0,1.0,85.0,Automatic,1598.0,front
Audi A1,21022.6,5193.0,Diesel,2.0,1.0,85.0,Automatic,1461.0,front
Audi A1,20500.0,12642.0,Benzine,1.0,1.0,85.0,Automatic,1598.0,front
Audi A1,20357.7,11380.0,Benzine,1.0,1.0,85.0,Automatic,1461.0,front
Audi A1,20357.7,6460.0,Benzine,1.0,1.0,70.0,Automatic,999.0,front
Audi A1,19890.0,8400.0,Benzine,1.0,1.0,70.0,Automatic,999.0,front
Audi A1,19900.0,12688.0,Benzine,1.0,1.0,71.0,Automatic,1461.0,front
Audi A1,21202.7,2949.0,Benzine,1.0,1.0,70.0,Automatic,999.0,front
Audi A1,19890.0,14350.0,Benzine,1.0,1.0,70.0,Automatic,999.0,front
Audi A1,20400.0,9564.0,Benzine,1.0,1.0,70.0,Automatic,999.0,front
Audi A1,20000.0,11000.0,Benzine,2.0,1.0,70.0,Automatic,999.0,front
Audi A1,20000.0,17606.0,Benzine,1.0,1.0,92.0,Automatic,1461.0,front
Audi A1,19999.0,21499.9,Benzine,2.0,2.0,70.0,Automatic,1461.0,front
Audi A1,20449.8,5516.0,Benzine,2.0,1.0,92.0,Automatic,1461.0,front
Audi A1,19990.0,15000.0,Benzine,1.0,1.0,71.0,Automatic,1461.0,front
Audi A1,20449.8,7961.0,Benzine,1.0,1.0,92.0,Automatic,1395.0,front
Audi A1,19988.0,16500.0,Benzine,1.0,1.0,70.0,Automatic,999.0,front
Audi A1,20436.5,10775.0,Diesel,1.0,1.0,85.0,Automatic,1598.0,front
Audi A1,19959.0,4500.0,Benzine,1.0,1.0,70.0,Automatic,999.0,front
Audi A1,19560.0,10870.0,Benzine,1.0,1.0,70.0,Automatic,999.0,front
Audi A1,19550.0,12984.0,Benzine,1.0,1.0,70.0,Automatic,999.0,front
Audi A1,20787.0,17000.0,Benzine,2.0,2.0,92.0,Automatic,1395.0,front
Audi A1,20732.6,14672.0,Benzine,1.0,1.0,70.0,Automatic,1461.0,front
Audi A1,19440.0,12900.0,Benzine,1.0,1.0,70.0,Automatic,999.0,front
Audi A1,19880.0,5601.0,Benzine,1.0,1.0,85.0,Automatic,999.0,front
